seq,phase,data_mode,function,runtime,variant,memory_mb,role,pattern,warming,intended_cold,force_cold,rep,block,burst_id,idle_gap_min,t_start,t_start_utc,request_id,status,function_error,error,rtt_ms,duration_ms,billed_ms,init_ms,cold,max_memory_used_mb,report_source
32.0,live_java_init,live,java-optimised,java,optimised,1024,measure,idle,off,True,update_env,8.0,,,,1789904107.296,2026-09-20T11:35:07.296+00:00,dc913f64-3de1-4c4c-99c0-91d675d80df6,200,,False,695.329,104.66,441,335.77,True,107,logs
33.0,live_java_init,live,java-optimised,java,optimised,1024,follow_up,idle,off,False,update_env,8.0,,,,1789904107.993,2026-09-20T11:35:07.992+00:00,e2e7a3ef-17ab-4a41-817e-944a33a2a051,200,,False,196.41,20.07,21,,False,107,logs
34.0,live_java_init,live,java-default,java,default,1024,measure,idle,off,True,update_env,8.0,,,,1789904110.443,2026-09-20T11:35:10.443+00:00,ff25ba42-802e-401f-b44b-ac894d2cde59,200,,False,1159.806,126.55,879,752.41,True,121,logs
35.0,live_java_init,live,java-default,java,default,1024,follow_up,idle,off,False,update_env,8.0,,,,1789904111.606,2026-09-20T11:35:11.605+00:00,b76589dd-e748-4f68-9a11-fea0bccd80a3,200,,False,216.081,41.85,42,,False,121,logs
36.0,live_java_init,live,java-default,java,default,1024,measure,idle,off,True,update_env,9.0,,,,1789904114.031,2026-09-20T11:35:14.031+00:00,972ea755-4ebe-485d-9463-bae3a884fcb3,200,,False,1199.313,127.83,898,769.87,True,119,logs
37.0,live_java_init,live,java-default,java,default,1024,follow_up,idle,off,False,update_env,9.0,,,,1789904115.233,2026-09-20T11:35:15.233+00:00,8975b64c-d3f9-4eb4-98c3-aa7932d26486,200,,False,214.049,38.31,39,,False,119,logs
38.0,live_java_init,live,java-optimised,java,optimised,1024,measure,idle,off,True,update_env,9.0,,,,1789904117.624,2026-09-20T11:35:17.624+00:00,a5e43982-e44a-44ec-8b08-8a668a9a8ca1,200,,False,722.6,113.0,445,331.03,True,109,logs
39.0,live_java_init,live,java-optimised,java,optimised,1024,follow_up,idle,off,False,update_env,9.0,,,,1789904118.348,2026-09-20T11:35:18.347+00:00,fd4d3f4c-b29b-4693-8b03-943f99e0aa12,200,,False,193.935,18.83,19,,False,109,logs
40.0,live_java_init,live,java-optimised,java,optimised,1024,measure,idle,off,True,update_env,10.0,,,,1789904120.687,2026-09-20T11:35:20.687+00:00,71f96342-f561-4309-acca-11083266d878,200,,False,857.695,121.14,560,438.34,True,107,logs
41.0,live_java_init,live,java-optimised,java,optimised,1024,follow_up,idle,off,False,update_env,10.0,,,,1789904121.546,2026-09-20T11:35:21.546+00:00,83625c71-5263-4f88-99f2-15745ddb2cd0,200,,False,228.222,50.34,51,,False,107,logs
42.0,live_java_init,live,java-default,java,default,1024,measure,idle,off,True,update_env,10.0,,,,1789904123.994,2026-09-20T11:35:23.993+00:00,7ace73c8-f710-4048-876c-2b108349765f,200,,False,1049.354,108.96,729,619.17,True,119,logs
43.0,live_java_init,live,java-default,java,default,1024,follow_up,idle,off,False,update_env,10.0,,,,1789904125.044,2026-09-20T11:35:25.044+00:00,70c321e9-485d-450b-8ce0-e45a03574966,200,,False,208.636,30.02,31,,False,119,logs
44.0,live_java_init,live,java-optimised,java,optimised,1024,measure,idle,off,True,update_env,11.0,,,,1789904127.445,2026-09-20T11:35:27.444+00:00,62d60e86-e879-4a31-80b8-aad8d9bdf752,200,,False,742.488,97.17,393,295.82,True,109,logs
45.0,live_java_init,live,java-optimised,java,optimised,1024,follow_up,idle,off,False,update_env,11.0,,,,1789904128.189,2026-09-20T11:35:28.188+00:00,89fadcdc-e091-424a-95e4-df87fe91c5cb,200,,False,211.622,34.35,35,,False,109,logs
46.0,live_java_init,live,java-default,java,default,1024,measure,idle,off,True,update_env,11.0,,,,1789904130.596,2026-09-20T11:35:30.596+00:00,790d2429-3613-4527-ac32-e031835f078d,200,,False,1179.629,116.35,879,762.64,True,123,logs
47.0,live_java_init,live,java-default,java,default,1024,follow_up,idle,off,False,update_env,11.0,,,,1789904131.778,2026-09-20T11:35:31.778+00:00,243935e2-0325-4bac-9df9-bba97b40d523,200,,False,211.427,37.22,38,,False,123,logs
,background,live,warm-target,python,optimised,1024,warmer_ping,,,,,,,,,1789904345.026,,8b9b49be-3239-4e8c-a17e-6a55e210a3c4,200,,False,,46.35,47,,False,41,logs
,background,live,warm-control,python,optimised,1024,unmatched,,,,,,,,,1789904345.241,,8cc299cb-2fd9-4e88-a025-a44090892eed,200,,False,,35.71,36,,False,44,logs
