runtime,variant,phase,n_cold,n_warm,mean_init_ms,median_init_ms,mean_cold_cost,mean_warm_cost,cost_per_1k_all_cold,cost_per_1k_mixed_f1
python,default,live_python_init,12,12,3177.92,3355.95,4.2901324616666665e-05,4.777791666666666e-07,0.04290132461666667,0.04290132461666667
python,optimised,live_python_init,12,12,88.90333333333332,88.32,1.6777851666666666e-06,4.6889023333333336e-07,0.0016777851666666666,0.0016777851666666666
nodejs,default,live_nodejs_init,12,12,991.6800000000002,1000.795,1.6001190116666667e-05,2.0288980333333334e-06,0.016001190116666668,0.016001190116666668
nodejs,optimised,live_nodejs_init,12,12,135.1483333333333,140.45499999999998,4.395576533333332e-06,1.6311182666666667e-06,0.004395576533333332,0.004395576533333332
java,default,live_java_init,12,12,688.6441666666666,687.26,1.0878942283333332e-05,6.677801166666667e-07,0.010878942283333332,0.010878942283333332
java,optimised,live_java_init,12,12,360.9025,333.4,6.4722535833333334e-06,6.888913333333333e-07,0.006472253583333334,0.006472253583333334
