warming,n,n_cold,cold_rate,init_mean_ms,init_median_ms,mean_billed_ms,mean_cost_usd,sum_cost_usd
off,10,2,0.2,84.66,84.66,40.8,7.440027199999999e-07,7.4400271999999995e-06
on,10,0,0.0,,,24.0,5.200016000000001e-07,5.200016000000001e-06
