t_sent,kind,status,latency_ms,trace_id,error
1789910953.383,create,201,944.87,Root=1-6aafdfa9-7cadabe0524718da7cadc37e;Parent=32909acc1410f78d;Sampled=0;Lineage=1:3cc2d273:0,
1789910954.383,create,201,1000.38,Root=1-6aafdfaa-4d22fd5a28d4ae5251331db0;Parent=568878a2d381c7c8;Sampled=0;Lineage=1:3cc2d273:0,
1789910955.383,create,201,977.9,Root=1-6aafdfab-782ffef963260e222f72e70b;Parent=2f62b2485af2dd86;Sampled=0;Lineage=1:3cc2d273:0,
1789910956.383,create,201,909.73,Root=1-6aafdfac-5d69487640e9cf2f5d9c326f;Parent=02dc1463deb48764;Sampled=0;Lineage=1:3cc2d273:0,
1789910957.383,create,201,937.37,Root=1-6aafdfad-0f2f34b07dff9a575a52f2f2;Parent=53ec48e21a92b300;Sampled=0;Lineage=1:3cc2d273:0,
1789910958.383,get,200,264.52,Root=1-6aafdfae-073a85453660c47e0d788d3c;Parent=7c4e5b95a844bceb;Sampled=0;Lineage=1:3cc2d273:0,
1789910959.383,create,201,910.48,Root=1-6aafdfaf-70b0f5766e3491c74454af49;Parent=55965a87700db6b9;Sampled=0;Lineage=1:3cc2d273:0,
1789910960.383,create,201,931.84,Root=1-6aafdfb0-58f9e8441aa07fcb4335368f;Parent=32444fe12b064839;Sampled=0;Lineage=1:3cc2d273:0,
1789910961.383,create,201,959.45,Root=1-6aafdfb1-6534ce533d0a0ce40ba37d1c;Parent=584a91394261fbe0;Sampled=0;Lineage=1:3cc2d273:0,
1789910962.383,create,201,983.3,Root=1-6aafdfb2-11e401b546b62f8873db1b3f;Parent=68030aec9613ab72;Sampled=0;Lineage=1:3cc2d273:0,
1789910963.383,create,201,617.63,Root=1-6aafdfb3-380c6126523a58a50673034c;Parent=6bc0aa8d423d5aac;Sampled=0;Lineage=1:3cc2d273:0,
1789910964.383,get,200,560.2,Root=1-6aafdfb4-5038d50040b2a9046e1ab1bf;Parent=184713905a1a9f33;Sampled=0;Lineage=1:3cc2d273:0,
1789910965.383,create,201,979.18,Root=1-6aafdfb5-0c2798a9734fe1630a3ed569;Parent=38a3320117d0e88f;Sampled=0;Lineage=1:3cc2d273:0,
1789910966.383,create,201,898.76,Root=1-6aafdfb6-20df89d10a1c9a1e3b6929db;Parent=1c16a66ff0b61495;Sampled=0;Lineage=1:3cc2d273:0,
1789910967.383,create,201,703.39,Root=1-6aafdfb7-0d0edc23785392e2789ab138;Parent=1a7df324a9abce35;Sampled=0;Lineage=1:3cc2d273:0,
1789910968.383,create,201,653.75,Root=1-6aafdfb8-7dbf84243055d0c37fe65683;Parent=017df8f03cad2df5;Sampled=0;Lineage=1:3cc2d273:0,
1789910969.383,get,200,273.68,Root=1-6aafdfb9-1ffd8edb3c975223385669c3;Parent=30e555730f3a55ff;Sampled=0;Lineage=1:3cc2d273:0,
1789910970.383,create,201,945.69,Root=1-6aafdfba-66c97d522ae57f1e60b2c2a0;Parent=34b7113967a06029;Sampled=0;Lineage=1:3cc2d273:0,
1789910971.383,create,201,675.4,Root=1-6aafdfbb-4bc772896c95419d0f4bc3f4;Parent=1f76e097d8755c46;Sampled=0;Lineage=1:3cc2d273:0,
1789910972.383,create,201,1006.42,Root=1-6aafdfbc-283a7b545e90f29c28a78cfb;Parent=0926edc6437e2ec3;Sampled=0;Lineage=1:3cc2d273:0,
1789910973.383,create,201,635.04,Root=1-6aafdfbd-517680f82b2fcd665aaeab55;Parent=7f3fc21f2e1999a8;Sampled=0;Lineage=1:3cc2d273:0,
1789910974.383,create,201,663.74,Root=1-6aafdfbe-4049654a3989a26d44dcd2d3;Parent=29f8afa6b8c519c7;Sampled=0;Lineage=1:3cc2d273:0,
