t,visible,inflight,delayed
0.6386508941650391,0,0,0
5.800699949264526,0,10,0
10.953125715255737,0,10,0
16.12752890586853,0,12,0
21.31919574737549,0,21,0
26.476898670196533,0,21,0
31.66021990776062,0,0,0
36.816813707351685,0,21,0
41.9775607585907,0,21,0
47.13197994232178,0,14,0
52.380125999450684,0,21,0
57.53158187866211,0,14,0
62.73948788642883,0,14,0
67.89224791526794,0,14,0
73.08290886878967,0,14,0
78.23860573768616,0,14,0
83.39281582832336,0,14,0
88.55024695396423,0,14,0
93.708163022995,0,14,0
98.9165849685669,0,14,0
104.07329082489014,0,14,0
109.25376200675964,0,14,0
114.41339373588562,0,14,0
119.57885789871216,0,14,0
124.73735690116882,0,14,0
129.8931348323822,0,14,0
135.09027791023254,0,4,0
140.24620270729065,0,4,0
145.430725812912,0,4,0
150.58812999725342,0,0,0
