time_s,cpu_cores_sum,mem_sum,n_machines,sample_note
15300,28.7757937,83.6898942,5.633333333333334,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
15600,27.519470899999998,84.15593916666667,5.733333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
15900,22.464246,77.15105820000001,6.0,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
16200,23.3511111,78.07853176666667,6.1,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
16500,22.994775100000002,83.50231480000001,6.966666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
16800,23.389923033333332,81.47529103333333,6.433333333333334,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
17100,33.814545466666665,83.0829942,5.866666666666666,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
17400,28.609954333333334,82.94276943333332,5.4,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
17700,28.736560866666665,86.5371164,5.533333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
18000,27.055952366666666,85.7537169,5.3,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
18300,30.561706333333333,87.01731486666667,5.733333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
18600,28.82681213333333,82.27293646666666,6.166666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
18900,23.710079399999998,84.18736773333333,5.466666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
19200,22.891058233333336,83.9152778,5.333333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
19500,39.52499996666667,84.5816667,3.6,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
19800,37.8354762,83.67384923333334,4.733333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
20100,48.731904766666666,87.24753966666667,4.9,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
20400,44.82042333333333,87.47259260000001,4.933333333333334,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
