,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Latency (ms)
MHSA-TDL,1.0,1.0,1.0,1.0,1.0,0.01
Threshold Baseline,0.9997,0.9977,1.0,0.9988,0.9998,0.0
