policy,n_steps,mae,rmse,cpu_util_mean,mem_util_mean,response_time_ms_mean,throughput_mean,throughput_sum,scaling_latency_s_mean,cost_usd,sla_violations,sla_compliance,availability_sim,scaling_events,mean_replicas,bin_seconds,usd_per_pod_hour_assumed,evidence_prediction,evidence_loop,evidence_cost,evidence_latency,evidence_response_throughput,live_k8s,live_cloudwatch
reactive-hpa,75,,,1.2075046264352733,,233.0064827422055,382.83475000000004,28712.606250000004,300.0,13.756666666666666,1,0.9866666666666667,0.9866666666666667,58,55.026666666666664,300.0,0.04,n/a,SIMULATED,SIMULATED,SIMULATED,SIMULATED,False,False
paks-adaptive,75,17.755709570156494,21.85785861866472,1.175551324224749,,215.19711298046678,382.83475000000004,28712.606250000004,300.0,14.406666666666666,1,0.9866666666666667,0.9866666666666667,47,57.626666666666665,300.0,0.04,TRACE,SIMULATED,SIMULATED,SIMULATED,SIMULATED,False,False
