memory_mb,n,duration_p50_ms,duration_p95_ms,duration_p99_ms,billed_p50_ms,cost_per_1k_usd
128,10,196.505,244.19099999999992,265.0062,197.0,0.000528334975
512,10,41.83,51.7215,51.9123,42.0,0.0004853347599999999
1024,10,30.22,33.807,34.0734,31.0,0.0005680018400000001
3008,10,13.96,16.629,16.6938,14.5,0.00076791950625
