seed,detector,tp,fp,fn,tn,precision,recall,f1,far_C_elasticity
2025,d3_thresholds,827,6,152,1942,0.992797118847539,0.8447395301327886,0.91280353200883,0.005555555555555556
2026,d3_thresholds,791,1,167,1936,0.9987373737373737,0.8256784968684759,0.9039999999999999,0.011111111111111112
2027,d3_thresholds,827,2,144,1928,0.9975874547647768,0.8516992790937178,0.9188888888888889,0.005555555555555556
