seed,detector,tp,fp,fn,tn,precision,recall,f1,far_C_elasticity
2025,d1_primary,930,26,49,1922,0.9728033472803347,0.9499489274770173,0.9612403100775194,0.075
2025,d1_ocsvm,930,26,49,1922,0.9728033472803347,0.9499489274770173,0.9612403100775194,0.075
2025,d1_iforest,164,19,815,1929,0.8961748633879781,0.1675178753830439,0.2822719449225473,0.10555555555555556
2026,d1_primary,904,28,54,1909,0.9699570815450643,0.9436325678496869,0.9566137566137566,0.07222222222222222
2026,d1_ocsvm,904,28,54,1909,0.9699570815450643,0.9436325678496869,0.9566137566137566,0.07222222222222222
2026,d1_iforest,284,13,674,1924,0.9562289562289562,0.2964509394572025,0.452589641434263,0.08611111111111111
2027,d1_primary,926,29,45,1901,0.9696335078534032,0.9536560247167868,0.9615784008307373,0.075
2027,d1_ocsvm,926,29,45,1901,0.9696335078534032,0.9536560247167868,0.9615784008307373,0.075
2027,d1_iforest,260,19,711,1911,0.931899641577061,0.26776519052523173,0.41600000000000004,0.08611111111111111
