seed,detector,tp,fp,fn,tn,precision,recall,f1,far_C_elasticity
2025,d2_transfer,443,533,536,1415,0.45389344262295084,0.4525025536261491,0.45319693094629154,0.07222222222222222
2026,d2_transfer,413,1,545,1936,0.9975845410628019,0.4311064718162839,0.6020408163265306,0.011111111111111112
2027,d2_transfer,852,0,119,1930,1.0,0.8774459320288363,0.9347229840921558,0.0
