t,visible,inflight,delayed
0.6761188507080078,0,0,0
5.841721773147583,35,11,0
11.00297498703003,0,8,0
16.17033076286316,0,8,0
21.33305072784424,0,14,0
26.503806829452515,0,17,0
31.6691997051239,0,17,0
36.83732771873474,0,16,0
42.016273736953735,0,17,0
47.179128646850586,0,18,0
52.34307670593262,35,11,0
57.51237177848816,0,14,0
62.686447858810425,0,14,0
67.850909948349,0,5,0
73.02443599700928,0,14,0
78.19424271583557,0,0,0
83.35957098007202,0,14,0
88.52846884727478,0,14,0
93.76262283325195,0,0,0
