phase,function,memory_mb,calls,error_rate,cold_n,init_p50_ms,init_p95_ms,init_p99_ms,cold_duration_p50_ms,warm_duration_p50_ms,rtt_p50_ms,rtt_p95_ms,rtt_p99_ms,cold_fraction,intended_cold_came_back_warm,cost_per_1k_usd
baseline,python-default,128,10,0.0,0,,,,,180.475,356.5435,378.71475,378.72375,0.0,0,0.0005035015174999998
baseline,python-default,512,10,0.0,0,,,,,47.035,220.236,252.50725,255.12625,0.0,0,0.0004880014400000001
baseline,python-default,1024,10,0.0,0,,,,,26.445,196.285,221.81934999999996,236.28307,0.0,0,0.0004933348000000001
baseline,python-default,3008,10,0.0,0,,,,,14.27,184.761,208.44095,216.35699000000002,0.0,0,0.000779669565
burst,java-optimised,1024,100,0.0,50,424.01,444.873,454.30839999999995,123.495,40.46,961.847,1603.73315,1644.1437400000007,0.5,50,0.003937352020000001
burst,nodejs-optimised,1024,100,0.0,50,142.29000000000002,152.90949999999998,165.3157,184.98,115.78999999999999,704.8205,1797.1596999999995,2204.43744,0.5,50,0.0030945478059999994
burst,python-optimised,1024,100,0.0,45,87.79,95.65799999999999,104.95200000000003,22.38,20.96,524.8585,1304.2221,1662.8526200000003,0.45,55,0.001017070752
runtime_compare,java-optimised,1024,10,0.0,5,404.83,419.264,419.8048,114.18,38.39,474.713,872.2581,899.55402,0.5,0,0.0037240176199999993
runtime_compare,nodejs-optimised,1024,10,0.0,5,141.35,147.72,148.44,188.98,116.7,475.885,674.374,684.7348000000001,0.5,0,0.0031533481
runtime_compare,python-optimised,1024,10,0.0,5,80.19,89.734,89.7708,23.62,19.82,303.461,412.42539999999997,414.03388,0.5,0,0.00103467084
