t_sent,kind,status,latency_ms,trace_id,error
1790018027.103,get,200,502.86,Root=1-6ab181eb-2c0b73251bd2fa2c5e81d1df;Parent=7eb6ae9f2554632c;Sampled=0;Lineage=1:3cc2d273:0,
1790018028.103,create,201,648.35,Root=1-6ab181ec-1d73f8300ed4140b516d0deb;Parent=1fc963b9a25d56ab;Sampled=0;Lineage=1:3cc2d273:0,
1790018029.103,create,201,590.07,Root=1-6ab181ed-7be5b3b94ceb4c6a73a5016d;Parent=3783cb3ce956d175;Sampled=0;Lineage=1:3cc2d273:0,
1790018030.103,create,201,876.71,Root=1-6ab181ee-505b1e6535450d55703a0d15;Parent=50cdd66b9ccc7133;Sampled=0;Lineage=1:3cc2d273:0,
1790018031.103,create,201,869.93,Root=1-6ab181ef-3247a35b764ba5275573177c;Parent=7547f4ebf9a7c04b;Sampled=0;Lineage=1:3cc2d273:0,
1790018032.103,create,201,895.17,Root=1-6ab181f0-55abf8c754bd87ba6e726481;Parent=5d75b52d0f651679;Sampled=0;Lineage=1:3cc2d273:0,
1790018033.103,get,200,494.67,Root=1-6ab181f1-292f0bf0266cbe172d9dd741;Parent=21b5eb33cc7bcf42;Sampled=0;Lineage=1:3cc2d273:0,
1790018034.103,create,201,938.42,Root=1-6ab181f2-40ce901f730d2ae763510572;Parent=23e44346fa56e930;Sampled=0;Lineage=1:3cc2d273:0,
1790018035.103,create,201,861.79,Root=1-6ab181f3-3b04e42c5bca4959087afef7;Parent=3fa5b51b7972b0ca;Sampled=0;Lineage=1:3cc2d273:0,
1790018036.103,create,201,889.73,Root=1-6ab181f4-26761dc6379b478c3da0218a;Parent=687f13b5d759de97;Sampled=0;Lineage=1:3cc2d273:0,
1790018037.103,create,201,687.08,Root=1-6ab181f5-43afb46b560573b00bcd66cd;Parent=180929c275df8426;Sampled=0;Lineage=1:3cc2d273:0,
1790018038.103,get,200,520.92,Root=1-6ab181f6-462edf7368e5c17d1bc6f058;Parent=1d74a65aad75399c;Sampled=0;Lineage=1:3cc2d273:0,
1790018039.103,create,201,958.33,Root=1-6ab181f7-7f96029f703ca7e502c60a14;Parent=453e0642f9082b44;Sampled=0;Lineage=1:3cc2d273:0,
1790018040.103,create,201,888.8,Root=1-6ab181f8-5d760c4e576d4f2d319bc4b2;Parent=2ae1b844aebf269d;Sampled=0;Lineage=1:3cc2d273:0,
1790018041.103,create,201,900.82,Root=1-6ab181f9-0edbd41d0a83673b0da28063;Parent=1d403b569a223414;Sampled=0;Lineage=1:3cc2d273:0,
1790018042.103,create,201,927.01,Root=1-6ab181fa-6fde83b97f90175925efb3d2;Parent=1e3333970efb4cb9;Sampled=0;Lineage=1:3cc2d273:0,
1790018043.103,create,201,953.4,Root=1-6ab181fb-6eac466b0a726b7e7f668ed4;Parent=516f84ab669d5726;Sampled=0;Lineage=1:3cc2d273:0,
