phase,function,memory_mb,calls,error_rate,cold_n,init_p50_ms,init_p95_ms,init_p99_ms,cold_duration_p50_ms,warm_duration_p50_ms,rtt_p50_ms,rtt_p95_ms,rtt_p99_ms,cold_fraction,intended_cold_came_back_warm,cost_per_1k_usd
package_size,java-default,1024,60,0.0,30,771.38,794.601,797.4418,125.13,37.555,654.8645,1306.6935,1311.28191,0.5,0,0.00616936318
package_size,java-optimised,1024,60,0.0,30,414.51,438.043,439.0571,120.87,36.480000000000004,499.074,919.4323,977.7427499999998,0.5,0,0.00379935133
package_size,nodejs-default,1024,60,0.0,30,1105.145,1152.9734999999998,1163.8870000000002,239.755,164.265,989.2915,1867.76315,1930.2111999999997,0.5,0,0.009730269873333334
package_size,nodejs-optimised,1024,60,0.0,30,139.915,153.61399999999998,193.72860000000003,185.64499999999998,113.635,474.971,720.3924999999998,791.75803,0.5,0,0.0030722365833333334
package_size,python-default,1024,60,0.0,30,3473.27,3561.2775,3574.2994,27.605,19.535,1700.08,4071.93225,4139.40288,0.5,0,0.022508111540000004
package_size,python-optimised,1024,60,0.0,30,88.295,98.472,131.54000000000002,26.67,21.775,333.8845,523.3922,558.5824199999997,0.5,0,0.00110200451
runtime_compare,java-optimised,1024,60,0.0,29,418.39,455.688,754.7039999999995,122.39,37.15,354.9125,963.1463499999998,1689.2243799999967,0.48333333333333334,1,0.0038795739533333327
runtime_compare,nodejs-optimised,1024,60,0.0,30,144.11,154.23999999999998,188.35440000000003,186.875,116.335,532.932,692.8229999999999,853.5713599999992,0.5,0,0.003140236923333333
runtime_compare,python-optimised,1024,60,0.0,30,89.22,97.7465,101.94980000000001,21.765,23.215000000000003,372.1295,483.0997499999999,635.4502399999997,0.5,0,0.0010797821766666668
