,Precision,Precision,Recall,Recall,F1,F1
,mean,std,mean,std,mean,std
Model,,,,,,
"Hybrid Detector (improved, code-only)",1.0,0.0,0.4826,0.0275,0.6506,0.0253
"ML Detector (code-only, baseline gap)",0.7677,0.0445,0.7079,0.0642,0.7334,0.0187
ML Detector (rich context),1.0,0.0,1.0,0.0,1.0,0.0
Rule-Based Only (reference),1.0,0.0,0.4826,0.0275,0.6506,0.0253
