seq,phase,data_mode,function,runtime,variant,memory_mb,role,pattern,warming,intended_cold,force_cold,rep,block,burst_id,idle_gap_min,t_start,t_start_utc,request_id,status,function_error,error,rtt_ms,duration_ms,billed_ms,init_ms,cold,max_memory_used_mb,report_source,effective_billed_ms,cost_usd
19,package_size,live,python-optimised,python,optimised,1024,follow_up,idle,off,False,update_env,1,,,,1790078080.454,2026-09-22T11:54:40.453+00:00,59d48fef-f577-4f2a-8c2e-14ca7c6b1823,200,,False,217.807,26.87,27,,False,43,logs,27.0,5.600018e-07
20,package_size,live,nodejs-optimised,nodejs,optimised,1024,measure,idle,off,True,update_env,1,,,,1790078082.812,2026-09-22T11:54:42.811+00:00,594678ab-4a53-40ae-aad1-8571f19030c6,200,,False,616.568,174.97,321,145.9,True,79,logs,321.0,4.4800214e-06
21,package_size,live,nodejs-optimised,nodejs,optimised,1024,follow_up,idle,off,False,update_env,1,,,,1790078083.43,2026-09-22T11:54:43.430+00:00,e313ca33-6114-47b7-8362-af7dc78fe29c,200,,False,296.304,115.84,116,,False,79,logs,116.0,1.7466744e-06
22,package_size,live,java-default,java,default,1024,measure,idle,off,True,update_env,1,,,,1790078085.913,2026-09-22T11:54:45.912+00:00,fd9e6aba-8b93-4bf6-93e2-259d2182e455,200,,False,1260.631,128.69,906,777.15,True,121,logs,906.0,1.22800604e-05
23,package_size,live,java-default,java,default,1024,follow_up,idle,off,False,update_env,1,,,,1790078087.174,2026-09-22T11:54:47.174+00:00,06ba67a5-4b5b-48f2-b9d3-e4b56d42cca0,200,,False,213.48,39.02,40,,False,121,logs,40.0,7.33336e-07
24,package_size,live,java-optimised,java,optimised,1024,measure,idle,off,True,update_env,2,,,,1790078089.502,2026-09-22T11:54:49.501+00:00,4029df68-9ebd-49a3-86a6-ef77abff9ea6,200,,False,735.442,93.46,425,331.41,True,107,logs,425.0,5.866695e-06
25,package_size,live,java-optimised,java,optimised,1024,follow_up,idle,off,False,update_env,2,,,,1790078090.238,2026-09-22T11:54:50.237+00:00,e2d944a3-def8-4125-b412-9ee5fa79c5d9,200,,False,209.659,28.41,29,,False,107,logs,29.0,5.866686000000001e-07
26,package_size,live,python-optimised,python,optimised,1024,measure,idle,off,True,update_env,2,,,,1790078092.575,2026-09-22T11:54:52.574+00:00,ca268be2-3ad7-46ad-9771-41d3833f73da,200,,False,478.47,19.49,109,89.5,True,41,logs,109.0,1.6533406e-06
27,package_size,live,python-optimised,python,optimised,1024,follow_up,idle,off,False,update_env,2,,,,1790078093.056,2026-09-22T11:54:53.055+00:00,d2d79a66-95f3-43a4-8a2a-7d6a8eff84b8,200,,False,203.143,26.5,27,,False,41,logs,27.0,5.600018e-07
28,package_size,live,nodejs-default,nodejs,default,1024,measure,idle,off,True,update_env,2,,,,1790078095.374,2026-09-22T11:54:55.374+00:00,ddde8ede-e015-4858-8201-8ec5b3a29db9,200,,False,1846.722,234.25,1352,1117.13,True,123,logs,1352.0,1.8226756800000002e-05
29,package_size,live,nodejs-default,nodejs,default,1024,follow_up,idle,off,False,update_env,2,,,,1790078097.223,2026-09-22T11:54:57.222+00:00,18ef5a71-745c-4658-b840-3b68e49d7d69,200,,False,358.68,169.11,170,,False,135,logs,170.0,2.4666780000000003e-06
30,package_size,live,python-default,python,default,1024,measure,idle,off,True,update_env,2,,,,1790078099.75,2026-09-22T11:54:59.750+00:00,f9193b1b-7bff-4bf0-be67-c60d728e4150,200,,False,3987.749,27.29,3499,3470.93,True,132,logs,3499.0,4.68535666e-05
31,package_size,live,python-default,python,default,1024,follow_up,idle,off,False,update_env,2,,,,1790078103.74,2026-09-22T11:55:03.740+00:00,62b1f39e-867f-41ce-aa7d-3e0b0a94758c,200,,False,196.522,19.55,20,,False,132,logs,20.0,4.66668e-07
32,package_size,live,java-default,java,default,1024,measure,idle,off,True,update_env,2,,,,1790078106.138,2026-09-22T11:55:06.137+00:00,7fa8308e-a948-4553-9949-56f39f340e22,200,,False,1218.567,116.81,877,759.71,True,119,logs,877.0,1.18933918e-05
33,package_size,live,java-default,java,default,1024,follow_up,idle,off,False,update_env,2,,,,1790078107.359,2026-09-22T11:55:07.359+00:00,afc30694-aab6-48e5-9643-fd5e64520592,200,,False,232.389,50.36,51,,False,119,logs,51.0,8.800034e-07
34,package_size,live,nodejs-optimised,nodejs,optimised,1024,measure,idle,off,True,update_env,2,,,,1790078109.702,2026-09-22T11:55:09.701+00:00,359912f2-a241-4dfa-8617-eb8cc47ab451,200,,False,639.866,195.01,338,142.9,True,78,logs,338.0,4.7066892e-06
35,package_size,live,nodejs-optimised,nodejs,optimised,1024,follow_up,idle,off,False,update_env,2,,,,1790078110.343,2026-09-22T11:55:10.342+00:00,478c9ee8-f71c-44f7-ba36-cf199608c8a5,200,,False,300.82,124.38,125,,False,78,logs,125.0,1.866675e-06
36,package_size,live,python-optimised,python,optimised,1024,measure,idle,off,True,update_env,3,,,,1790078112.708,2026-09-22T11:55:12.708+00:00,1a9fd455-b8f2-494b-8042-c3b2e80fa37f,200,,False,377.561,27.49,96,67.89,True,42,logs,96.0,1.4800064e-06
37,package_size,live,python-optimised,python,optimised,1024,follow_up,idle,off,False,update_env,3,,,,1790078113.087,2026-09-22T11:55:13.087+00:00,fd211573-b9c0-41a8-8fe0-f213abb5d68a,200,,False,197.462,15.73,16,,False,42,logs,16.0,4.133344e-07
38,package_size,live,python-default,python,default,1024,measure,idle,off,True,update_env,3,,,,1790078115.393,2026-09-22T11:55:15.392+00:00,2953b76c-9543-4e14-a85e-2e3ed14c97d4,200,,False,4081.418,31.01,3526,3494.23,True,134,logs,3526.0,4.72135684e-05
39,package_size,live,python-default,python,default,1024,follow_up,idle,off,False,update_env,3,,,,1790078119.478,2026-09-22T11:55:19.477+00:00,99288d09-9de2-41d8-8c30-f988a24bc279,200,,False,210.494,30.03,31,,False,134,logs,31.0,6.133354e-07
40,package_size,live,java-optimised,java,optimised,1024,measure,idle,off,True,update_env,3,,,,1790078121.865,2026-09-22T11:55:21.865+00:00,2ad113b3-c0a8-46ad-b263-d999d9192213,200,,False,879.173,120.84,542,420.22,True,109,logs,542.0,7.4267028e-06
41,package_size,live,java-optimised,java,optimised,1024,follow_up,idle,off,False,update_env,3,,,,1790078122.747,2026-09-22T11:55:22.747+00:00,8748611c-bce3-4225-b456-af6caf81aeea,200,,False,214.62,36.45,37,,False,109,logs,37.0,6.933357999999999e-07
42,package_size,live,nodejs-default,nodejs,default,1024,measure,idle,off,True,update_env,3,,,,1790078125.018,2026-09-22T11:55:25.018+00:00,6a857a77-8861-4705-9bf3-e5743beac228,200,,False,1723.808,204.8,1293,1087.44,True,126,logs,1293.0,1.74400862e-05
43,package_size,live,nodejs-default,nodejs,default,1024,follow_up,idle,off,False,update_env,3,,,,1790078126.743,2026-09-22T11:55:26.742+00:00,b56057ff-2cbe-4f0b-92e5-6d0e95b60931,200,,False,365.076,169.23,170,,False,132,logs,170.0,2.4666780000000003e-06
44,package_size,live,java-default,java,default,1024,measure,idle,off,True,update_env,3,,,,1790078129.275,2026-09-22T11:55:29.275+00:00,d9a74eba-5abe-4d91-b5ce-590fe105cc45,200,,False,1204.855,126.54,899,772.16,True,121,logs,899.0,1.21867266e-05
45,package_size,live,java-default,java,default,1024,follow_up,idle,off,False,update_env,3,,,,1790078130.481,2026-09-22T11:55:30.480+00:00,374b93f3-275f-402f-a1c8-ce1b1a53af4a,200,,False,294.465,40.77,41,,False,121,logs,41.0,7.466694e-07
46,package_size,live,nodejs-optimised,nodejs,optimised,1024,measure,idle,off,True,update_env,3,,,,1790078132.876,2026-09-22T11:55:32.875+00:00,b20932dc-b63f-4a95-87f1-58593cb7de31,200,,False,649.883,190.75,347,155.63,True,78,logs,347.0,4.826689799999999e-06
47,package_size,live,nodejs-optimised,nodejs,optimised,1024,follow_up,idle,off,False,update_env,3,,,,1790078133.528,2026-09-22T11:55:33.527+00:00,502b912b-f357-4674-8ed6-8c1130503b5f,200,,False,290.08,107.39,108,,False,78,logs,108.0,1.6400072e-06
48,package_size,live,java-optimised,java,optimised,1024,measure,idle,off,True,update_env,4,,,,1790078136.019,2026-09-22T11:55:36.018+00:00,7d2e8f44-b1e7-4747-b7f4-e6f8cbc5886c,200,,False,880.637,141.16,579,437.68,True,109,logs,579.0,7.920038599999999e-06
49,package_size,live,java-optimised,java,optimised,1024,follow_up,idle,off,False,update_env,4,,,,1790078136.903,2026-09-22T11:55:36.902+00:00,8b9122b0-4ae6-4bf4-9296-78cfec4be673,200,,False,286.641,50.03,51,,False,109,logs,51.0,8.800034e-07
50,package_size,live,python-optimised,python,optimised,1024,measure,idle,off,True,update_env,4,,,,1790078139.308,2026-09-22T11:55:39.308+00:00,fab60e1e-ebd7-4902-a12b-871930d5ebaf,200,,False,413.75,28.26,116,87.55,True,42,logs,116.0,1.7466744e-06
51,package_size,live,python-optimised,python,optimised,1024,follow_up,idle,off,False,update_env,4,,,,1790078139.724,2026-09-22T11:55:39.724+00:00,7492e33e-431f-4264-9675-4b99a3d5582c,200,,False,196.891,21.45,22,,False,42,logs,22.0,4.933348e-07
52,package_size,live,nodejs-optimised,nodejs,optimised,1024,measure,idle,off,True,update_env,4,,,,1790078142.048,2026-09-22T11:55:42.047+00:00,4f02445f-2018-41e6-9074-0ae9c3cd4afc,200,,False,786.968,196.2,336,138.82,True,78,logs,336.0,4.6800224e-06
53,package_size,live,nodejs-optimised,nodejs,optimised,1024,follow_up,idle,off,False,update_env,4,,,,1790078142.838,2026-09-22T11:55:42.837+00:00,7b08d6b1-2f4f-49fa-b1a1-cc884b4286de,200,,False,337.041,125.06,126,,False,78,logs,126.0,1.8800084e-06
54,package_size,live,nodejs-default,nodejs,default,1024,measure,idle,off,True,update_env,4,,,,1790078145.358,2026-09-22T11:55:45.357+00:00,8323e38a-6962-4ac4-a12f-8c986b7fa258,200,,False,1776.576,245.48,1356,1110.35,True,124,logs,1356.0,1.8280090400000004e-05
55,package_size,live,nodejs-default,nodejs,default,1024,follow_up,idle,off,False,update_env,4,,,,1790078147.138,2026-09-22T11:55:47.137+00:00,36346ec7-a6ba-417c-8fd2-294f8bb22e67,200,,False,422.794,162.37,163,,False,132,logs,163.0,2.3733442e-06
56,package_size,live,python-default,python,default,1024,measure,idle,off,True,update_env,4,,,,1790078149.734,2026-09-22T11:55:49.734+00:00,392c4c41-a339-411b-8e17-06090609b024,200,,False,3994.283,27.3,3533,3505.15,True,133,logs,3533.0,4.7306902199999995e-05
57,package_size,live,python-default,python,default,1024,follow_up,idle,off,False,update_env,4,,,,1790078153.732,2026-09-22T11:55:53.731+00:00,a5d6455e-f03d-4c31-a2f7-e832c7d3da3b,200,,False,214.131,29.1,30,,False,133,logs,30.0,6.00002e-07
58,package_size,live,java-default,java,default,1024,measure,idle,off,True,update_env,4,,,,1790078156.224,2026-09-22T11:55:56.224+00:00,958e013e-5ad1-4bea-9137-e1c90793f019,200,,False,1306.664,113.29,900,786.24,True,123,logs,900.0,1.2200060000000001e-05
59,package_size,live,java-default,java,default,1024,follow_up,idle,off,False,update_env,4,,,,1790078157.534,2026-09-22T11:55:57.534+00:00,dfc9d8c5-4027-49c7-b2c0-2c5eaf8cace9,200,,False,218.791,44.06,45,,False,123,logs,45.0,8.000029999999999e-07
60,package_size,live,java-optimised,java,optimised,1024,measure,idle,off,True,update_env,5,,,,1790078160.025,2026-09-22T11:56:00.024+00:00,5baa2113-3fa2-49b2-b523-39404d175d07,200,,False,918.963,117.96,548,430.02,True,109,logs,548.0,7.5067032e-06
61,package_size,live,java-optimised,java,optimised,1024,follow_up,idle,off,False,update_env,5,,,,1790078160.945,2026-09-22T11:56:00.944+00:00,4dba848e-afba-43a6-b867-ed766d98f376,200,,False,239.618,39.66,40,,False,109,logs,40.0,7.33336e-07
62,package_size,live,java-default,java,default,1024,measure,idle,off,True,update_env,5,,,,1790078163.297,2026-09-22T11:56:03.297+00:00,6292f8d2-d6f3-4f4d-80a6-93e143a99cc2,200,,False,1298.932,114.12,877,762.51,True,119,logs,877.0,1.18933918e-05
63,package_size,live,java-default,java,default,1024,follow_up,idle,off,False,update_env,5,,,,1790078164.597,2026-09-22T11:56:04.597+00:00,42ece6d9-86e9-46f5-8357-06a4ab76e5dc,200,,False,257.485,36.69,37,,False,119,logs,37.0,6.933357999999999e-07
64,package_size,live,nodejs-default,nodejs,default,1024,measure,idle,off,True,update_env,5,,,,1790078166.967,2026-09-22T11:56:06.966+00:00,336d62bc-5a7e-4b04-a6a8-55060e72a1a8,200,,False,1796.993,234.32,1322,1086.81,True,126,logs,1322.0,1.7826754800000004e-05
65,package_size,live,nodejs-default,nodejs,default,1024,follow_up,idle,off,False,update_env,5,,,,1790078168.765,2026-09-22T11:56:08.765+00:00,4354e3b2-9063-40da-982b-e3792acb1564,200,,False,377.153,191.05,192,,False,136,logs,192.0,2.7600127999999997e-06
66,package_size,live,python-optimised,python,optimised,1024,measure,idle,off,True,update_env,5,,,,1790078171.223,2026-09-22T11:56:11.222+00:00,11beabc8-317f-4fa8-8741-a937249bbf91,200,,False,448.408,26.66,113,85.65,True,42,logs,113.0,1.7066742000000001e-06
67,package_size,live,python-optimised,python,optimised,1024,follow_up,idle,off,False,update_env,5,,,,1790078171.672,2026-09-22T11:56:11.672+00:00,5d3aa5d2-b1d3-4f19-a281-19f0cebd959d,200,,False,203.306,26.04,27,,False,42,logs,27.0,5.600018e-07
68,package_size,live,nodejs-optimised,nodejs,optimised,1024,measure,idle,off,True,update_env,5,,,,1790078174.158,2026-09-22T11:56:14.158+00:00,89d7ed59-3a47-4b83-9570-bc172375ba7e,200,,False,658.335,180.87,320,139.1,True,78,logs,320.0,4.466688e-06
69,package_size,live,nodejs-optimised,nodejs,optimised,1024,follow_up,idle,off,False,update_env,5,,,,1790078174.818,2026-09-22T11:56:14.817+00:00,0ffc7103-a27c-4a80-8f08-aab09abdb330,200,,False,362.132,139.05,140,,False,78,logs,140.0,2.0666760000000002e-06
70,package_size,live,python-default,python,default,1024,measure,idle,off,True,update_env,5,,,,1790078177.331,2026-09-22T11:56:17.330+00:00,4acc0f10-94be-456e-88d3-be77d01006af,200,,False,4065.519,27.07,3576,3548.17,True,133,logs,3576.0,4.78802384e-05
71,package_size,live,python-default,python,default,1024,follow_up,idle,off,False,update_env,5,,,,1790078181.4,2026-09-22T11:56:21.400+00:00,6d8f3b90-2d26-497e-9c06-9252fc15db87,200,,False,231.746,16.23,17,,False,133,logs,17.0,4.266678e-07
72,package_size,live,python-optimised,python,optimised,1024,measure,idle,off,True,update_env,6,,,,1790078183.777,2026-09-22T11:56:23.777+00:00,29e96bbf-cd0b-4bb0-a127-d1b37b8e54e0,200,,False,395.871,16.67,107,89.37,True,41,logs,107.0,1.6266738e-06
73,package_size,live,python-optimised,python,optimised,1024,follow_up,idle,off,False,update_env,6,,,,1790078184.174,2026-09-22T11:56:24.174+00:00,754df96f-bdf9-4286-9cb7-4bd12aec6819,200,,False,196.838,18.14,19,,False,41,logs,19.0,4.533346e-07
74,package_size,live,nodejs-default,nodejs,default,1024,measure,idle,off,True,update_env,6,,,,1790078186.548,2026-09-22T11:56:26.548+00:00,5c7ac365-e01c-4a2b-bef5-817d32fbb0f6,200,,False,1796.657,265.35,1375,1109.08,True,127,logs,1375.0,1.8533425000000003e-05
75,package_size,live,nodejs-default,nodejs,default,1024,follow_up,idle,off,False,update_env,6,,,,1790078188.346,2026-09-22T11:56:28.345+00:00,35e67d0f-1833-46cc-a19f-8766bb947d95,200,,False,361.428,183.63,184,,False,135,logs,184.0,2.6533456e-06
76,package_size,live,java-optimised,java,optimised,1024,measure,idle,off,True,update_env,6,,,,1790078190.849,2026-09-22T11:56:30.848+00:00,33526fd0-dab9-4c45-891d-4c4b2db141b8,200,,False,922.63,127.59,567,439.35,True,109,logs,567.0,7.7600378e-06
77,package_size,live,java-optimised,java,optimised,1024,follow_up,idle,off,False,update_env,6,,,,1790078191.773,2026-09-22T11:56:31.773+00:00,fb02e8d1-7994-4315-bea9-d9e86c769da8,200,,False,218.466,37.91,38,,False,109,logs,38.0,7.066692e-07
78,package_size,live,python-default,python,default,1024,measure,idle,off,True,update_env,6,,,,1790078194.126,2026-09-22T11:56:34.126+00:00,b2efd759-3bf4-40f3-bc20-514de7f61caf,200,,False,3976.803,17.43,3453,3434.89,True,132,logs,3453.0,4.62402302e-05
79,package_size,live,python-default,python,default,1024,follow_up,idle,off,False,update_env,6,,,,1790078198.104,2026-09-22T11:56:38.104+00:00,71ecf257-800a-4ed7-9cc9-4c74758dc829,200,,False,200.331,18.86,19,,False,133,logs,19.0,4.533346e-07
80,package_size,live,java-default,java,default,1024,measure,idle,off,True,update_env,6,,,,1790078200.575,2026-09-22T11:56:40.575+00:00,5be5d506-f81e-4c3b-b797-5c8071799533,200,,False,1244.063,133.45,906,771.79,True,119,logs,906.0,1.22800604e-05
81,package_size,live,java-default,java,default,1024,follow_up,idle,off,False,update_env,6,,,,1790078201.82,2026-09-22T11:56:41.820+00:00,feb57d09-412a-491e-8557-69cefbed9669,200,,False,260.905,50.86,51,,False,119,logs,51.0,8.800034e-07
82,package_size,live,nodejs-optimised,nodejs,optimised,1024,measure,idle,off,True,update_env,6,,,,1790078204.18,2026-09-22T11:56:44.179+00:00,1ad602bd-35f6-4846-aa93-0e0faf466145,200,,False,798.651,196.91,407,209.29,True,80,logs,407.0,5.626693799999999e-06
83,package_size,live,nodejs-optimised,nodejs,optimised,1024,follow_up,idle,off,False,update_env,6,,,,1790078204.98,2026-09-22T11:56:44.979+00:00,7cadfff4-39bb-4fe1-9155-e27060172020,200,,False,316.644,141.16,142,,False,80,logs,142.0,2.0933427999999998e-06
84,package_size,live,nodejs-default,nodejs,default,1024,measure,idle,off,True,update_env,7,,,,1790078207.439,2026-09-22T11:56:47.438+00:00,2dfa8eb1-c1d5-471c-a8a6-191626c26797,200,,False,1807.865,245.19,1372,1126.07,True,123,logs,1372.0,1.8493424800000003e-05
85,package_size,live,nodejs-default,nodejs,default,1024,follow_up,idle,off,False,update_env,7,,,,1790078209.25,2026-09-22T11:56:49.250+00:00,72e63573-eae9-4e2f-a55b-83a18ec24603,200,,False,340.575,164.09,165,,False,130,logs,165.0,2.400011e-06
86,package_size,live,python-default,python,default,1024,measure,idle,off,True,update_env,7,,,,1790078211.859,2026-09-22T11:56:51.859+00:00,aa2e0193-8f6a-4e17-8482-8e2c70f9ecb9,200,,False,3985.547,29.09,3504,3474.35,True,133,logs,3504.0,4.69202336e-05
87,package_size,live,python-default,python,default,1024,follow_up,idle,off,False,update_env,7,,,,1790078215.849,2026-09-22T11:56:55.849+00:00,d9aadda2-21d1-46d8-8e00-074f040b391e,200,,False,195.857,17.3,18,,False,133,logs,18.0,4.400012e-07
88,package_size,live,java-default,java,default,1024,measure,idle,off,True,update_env,7,,,,1790078218.381,2026-09-22T11:56:58.380+00:00,15f74d86-34b6-41f1-892e-176bdbadd803,200,,False,1018.413,110.06,726,615.92,True,123,logs,726.0,9.8800484e-06
89,package_size,live,java-default,java,default,1024,follow_up,idle,off,False,update_env,7,,,,1790078219.402,2026-09-22T11:56:59.401+00:00,aaacfaac-78b1-48b7-8985-e53853d83332,200,,False,210.938,28.61,29,,False,123,logs,29.0,5.866686000000001e-07
90,package_size,live,nodejs-optimised,nodejs,optimised,1024,measure,idle,off,True,update_env,7,,,,1790078221.809,2026-09-22T11:57:01.808+00:00,69af6eda-71a1-4d58-bf1e-eec42c4ff3d0,200,,False,785.249,164.5,284,118.74,True,78,logs,284.0,3.9866856e-06
91,package_size,live,nodejs-optimised,nodejs,optimised,1024,follow_up,idle,off,False,update_env,7,,,,1790078222.597,2026-09-22T11:57:02.597+00:00,8bd712cf-6ff3-4a92-8226-3ebe1b546725,200,,False,282.508,104.89,105,,False,78,logs,105.0,1.600007e-06
92,package_size,live,java-optimised,java,optimised,1024,measure,idle,off,True,update_env,7,,,,1790078225.148,2026-09-22T11:57:05.148+00:00,5a31673d-6291-491a-8764-1ea486c0714e,200,,False,796.692,97.15,440,342.64,True,108,logs,440.0,6.066696e-06
93,package_size,live,java-optimised,java,optimised,1024,follow_up,idle,off,False,update_env,7,,,,1790078225.946,2026-09-22T11:57:05.945+00:00,4e9d1e68-19c6-4d22-b2d8-f10d062a17c9,200,,False,253.3,28.89,29,,False,108,logs,29.0,5.866686000000001e-07
94,package_size,live,python-optimised,python,optimised,1024,measure,idle,off,True,update_env,7,,,,1790078228.397,2026-09-22T11:57:08.397+00:00,4e7a5ae5-0873-4b61-9a6e-b97ac20e3919,200,,False,474.353,18.32,163,144.01,True,41,logs,163.0,2.3733442e-06
95,package_size,live,python-optimised,python,optimised,1024,follow_up,idle,off,False,update_env,7,,,,1790078228.873,2026-09-22T11:57:08.872+00:00,b5905ccf-5a74-4a5b-a793-f862db6f95a2,200,,False,201.9,16.77,17,,False,41,logs,17.0,4.266678e-07
96,package_size,live,nodejs-default,nodejs,default,1024,measure,idle,off,True,update_env,8,,,,1790078231.553,2026-09-22T11:57:11.553+00:00,7d2c9fe6-8740-4787-9bdc-22059fe648d9,200,,False,1516.385,176.89,1062,884.36,True,129,logs,1062.0,1.43600708e-05
97,package_size,live,nodejs-default,nodejs,default,1024,follow_up,idle,off,False,update_env,8,,,,1790078233.071,2026-09-22T11:57:13.071+00:00,736e2c40-9042-4c94-aaf5-d74e29bdad73,200,,False,296.135,119.52,120,,False,139,logs,120.0,1.800008e-06
98,package_size,live,python-optimised,python,optimised,1024,measure,idle,off,True,update_env,8,,,,1790078235.637,2026-09-22T11:57:15.636+00:00,8db2f84e-60d7-491c-b65a-2e3ee2a537c7,200,,False,370.929,14.29,87,72.11,True,41,logs,87.0,1.3600058e-06
