seq,phase,data_mode,function,runtime,variant,memory_mb,role,pattern,warming,intended_cold,force_cold,rep,block,burst_id,idle_gap_min,t_start,t_start_utc,request_id,status,function_error,error,rtt_ms,duration_ms,billed_ms,init_ms,cold,max_memory_used_mb,report_source
0,package_size,live,python-default,python,default,1024,measure,idle,off,True,update_env,0,,,,1790074445.74,2026-09-22T10:54:05.740+00:00,fe5609df-1002-467b-b18c-c660edb6bc8d,200,,False,4044.918,27.92,3555,3526.78,True,132,logs
1,package_size,live,python-default,python,default,1024,follow_up,idle,off,False,update_env,0,,,,1790074449.786,2026-09-22T10:54:09.786+00:00,50426d7e-9c9e-4c54-9fb4-67242675f336,200,,False,219.735,26.64,27,,False,133,logs
2,package_size,live,nodejs-default,nodejs,default,1024,measure,idle,off,True,update_env,0,,,,1790074452.406,2026-09-22T10:54:12.406+00:00,1976566a-51a4-4a3b-8ef8-7b7cb901556c,200,,False,1915.682,236.61,1396,1158.64,True,127,logs
3,package_size,live,nodejs-default,nodejs,default,1024,follow_up,idle,off,False,update_env,0,,,,1790074454.323,2026-09-22T10:54:14.323+00:00,e3b02cf6-17d3-44d7-af80-33d493be4dbc,200,,False,335.99,147.55,148,,False,133,logs
4,package_size,live,java-default,java,default,1024,measure,idle,off,True,update_env,0,,,,1790074457.072,2026-09-22T10:54:17.072+00:00,179b6458-79fc-47dd-bab7-ab0797629658,200,,False,1293.123,129.92,914,783.18,True,123,logs
5,package_size,live,java-default,java,default,1024,follow_up,idle,off,False,update_env,0,,,,1790074458.367,2026-09-22T10:54:18.366+00:00,5dc3d730-3375-46a3-ac37-57baf977fa6c,200,,False,254.042,36.72,37,,False,123,logs
6,package_size,live,nodejs-optimised,nodejs,optimised,1024,measure,idle,off,True,update_env,0,,,,1790074460.986,2026-09-22T10:54:20.985+00:00,9349a036-5b9f-423f-9706-13a9e66204a3,200,,False,651.063,191.34,335,143.07,True,78,logs
7,package_size,live,nodejs-optimised,nodejs,optimised,1024,follow_up,idle,off,False,update_env,0,,,,1790074461.638,2026-09-22T10:54:21.638+00:00,c12603a6-0eff-40a7-9e47-03cc76fdc23f,200,,False,296.029,124.37,125,,False,78,logs
8,package_size,live,python-optimised,python,optimised,1024,measure,idle,off,True,update_env,0,,,,1790074464.388,2026-09-22T10:54:24.388+00:00,a285d42b-a598-4943-a3a0-7b9c19a49036,200,,False,391.611,28.58,101,71.45,True,41,logs
9,package_size,live,python-optimised,python,optimised,1024,follow_up,idle,off,False,update_env,0,,,,1790074464.783,2026-09-22T10:54:24.782+00:00,01719d70-6df1-4646-a2b2-830222a30bf8,200,,False,182.96,11.56,12,,False,41,logs
10,package_size,live,java-optimised,java,optimised,1024,measure,idle,off,True,update_env,0,,,,1790074467.302,2026-09-22T10:54:27.301+00:00,db86ec20-6824-4d66-b526-5f96afcbb28f,200,,False,840.502,127.52,549,421.19,True,110,logs
11,package_size,live,java-optimised,java,optimised,1024,follow_up,idle,off,False,update_env,0,,,,1790074468.145,2026-09-22T10:54:28.144+00:00,3c2fae12-72b0-48fd-83f2-b9c5866ab002,200,,False,230.767,50.25,51,,False,110,logs
12,package_size,live,java-optimised,java,optimised,1024,measure,idle,off,True,update_env,1,,,,1790074470.547,2026-09-22T10:54:30.547+00:00,3bb6236e-2c4c-4692-bac0-4e0f793a3a2f,200,,False,707.603,93.78,429,334.38,True,109,logs
13,package_size,live,java-optimised,java,optimised,1024,follow_up,idle,off,False,update_env,1,,,,1790074471.258,2026-09-22T10:54:31.257+00:00,c75c8588-28b7-4cce-8b92-b6a7d18dd06f,200,,False,210.8,31.08,32,,False,109,logs
14,package_size,live,python-default,python,default,1024,measure,idle,off,True,update_env,1,,,,1790074473.569,2026-09-22T10:54:33.569+00:00,3769ed02-9e9a-4946-a812-e68eec708a11,200,,False,4025.24,30.09,3496,3464.97,True,132,logs
15,package_size,live,python-default,python,default,1024,follow_up,idle,off,False,update_env,1,,,,1790074477.596,2026-09-22T10:54:37.595+00:00,b748f00c-a294-4a3c-a3cf-2deb9219934a,200,,False,198.077,26.88,27,,False,133,logs
16,package_size,live,nodejs-default,nodejs,default,1024,measure,idle,off,True,update_env,1,,,,1790074479.887,2026-09-22T10:54:39.886+00:00,14205637-9258-4661-8cca-c9b596748bbb,200,,False,1851.244,264.11,1405,1140.55,True,126,logs
17,package_size,live,nodejs-default,nodejs,default,1024,follow_up,idle,off,False,update_env,1,,,,1790074481.739,2026-09-22T10:54:41.739+00:00,00da068f-2d47-4d1e-846b-21e048c8e6dd,200,,False,369.708,181.6,182,,False,135,logs
18,package_size,live,python-optimised,python,optimised,1024,measure,idle,off,True,update_env,1,,,,1790074484.211,2026-09-22T10:54:44.210+00:00,e948e51e-f9dc-41eb-b1d4-c83aec5676ee,200,,False,420.009,33.04,120,86.21,True,41,logs
19,package_size,live,python-optimised,python,optimised,1024,follow_up,idle,off,False,update_env,1,,,,1790074484.632,2026-09-22T10:54:44.631+00:00,f114124d-df6f-49ee-a4f9-aff94a7270c4,200,,False,207.872,26.63,27,,False,41,logs
20,package_size,live,nodejs-optimised,nodejs,optimised,1024,measure,idle,off,True,update_env,1,,,,1790074487.046,2026-09-22T10:54:47.045+00:00,cc54646e-ad1d-4565-83d9-5bf87e56a68e,200,,False,719.244,211.89,356,143.26,True,78,logs
21,package_size,live,nodejs-optimised,nodejs,optimised,1024,follow_up,idle,off,False,update_env,1,,,,1790074487.766,2026-09-22T10:54:47.766+00:00,c19b9993-d6b6-4d27-91f9-812eecdabadb,200,,False,406.818,130.42,131,,False,78,logs
22,package_size,live,java-default,java,default,1024,measure,idle,off,True,update_env,1,,,,1790074490.309,2026-09-22T10:54:50.309+00:00,34fbff0e-5138-47e6-af9c-574ecb5bd2b9,200,,False,1240.258,132.9,899,765.39,True,119,logs
23,package_size,live,java-default,java,default,1024,follow_up,idle,off,False,update_env,1,,,,1790074491.551,2026-09-22T10:54:51.550+00:00,1a9d9f11-0e82-4c52-b055-7cd73c59885c,200,,False,214.468,40.76,41,,False,119,logs
