seq,phase,data_mode,function,runtime,variant,memory_mb,role,pattern,warming,intended_cold,force_cold,rep,block,burst_id,idle_gap_min,t_start,t_start_utc,request_id,status,function_error,error,rtt_ms,duration_ms,billed_ms,init_ms,cold,max_memory_used_mb,report_source
0,baseline,live,python-default,python,default,128,warmup,steady,off,False,,0,,,,1789981009.134,2026-09-21T08:56:49.133+00:00,eb8b80f8-a4c1-433a-a18a-3b059ec3a59f,200,,False,4255.252,207.99,3657,3448.13,True,112,logs
1,baseline,live,python-default,python,default,128,warmup,steady,off,False,,0,,,,1789981013.39,2026-09-21T08:56:53.390+00:00,da6a6bda-60a9-43f7-9d63-70d2a1c32bf3,200,,False,377.606,192.86,193,,False,112,logs
2,baseline,live,python-default,python,default,128,measure,steady,off,False,,0,,,,1789981013.769,2026-09-21T08:56:53.768+00:00,9267a5f8-84ca-48ce-a220-6f3adff6bec1,200,,False,359.1,189.41,190,,False,112,logs
3,baseline,live,python-default,python,default,1024,warmup,steady,off,False,,0,,,,1789981015.95,2026-09-21T08:56:55.950+00:00,f102aa2a-9641-48d2-9071-04f2bc236359,200,,False,3173.413,16.8,2714,2697.07,True,132,logs
4,baseline,live,python-default,python,default,1024,warmup,steady,off,False,,0,,,,1789981019.124,2026-09-21T08:56:59.124+00:00,852cff59-f959-49cb-91b4-9672695ee89a,200,,False,197.994,30.15,31,,False,132,logs
5,baseline,live,python-default,python,default,1024,measure,steady,off,False,,0,,,,1789981019.323,2026-09-21T08:56:59.322+00:00,b850154c-63cd-457f-9f1c-86598e09907d,200,,False,199.722,13.65,14,,False,132,logs
6,baseline,live,python-default,python,default,3008,warmup,steady,off,False,,0,,,,1789981021.415,2026-09-21T08:57:01.414+00:00,91dd1df4-bad7-4e16-979c-8a0ae0fa7c24,200,,False,2925.666,12.46,2538,2525.41,True,132,logs
7,baseline,live,python-default,python,default,3008,warmup,steady,off,False,,0,,,,1789981024.341,2026-09-21T08:57:04.341+00:00,66b18bc7-12fd-441f-a819-acb2fac8e984,200,,False,180.364,12.54,13,,False,132,logs
8,baseline,live,python-default,python,default,3008,measure,steady,off,False,,0,,,,1789981024.524,2026-09-21T08:57:04.524+00:00,d3d8719c-43f6-476f-81da-0a63eddb17ca,200,,False,182.546,11.98,12,,False,132,logs
9,baseline,live,python-default,python,default,512,warmup,steady,off,False,,0,,,,1789981026.526,2026-09-21T08:57:06.526+00:00,aa23d6fc-445a-4d14-b89d-f30dc28a9c04,200,,False,4099.873,47.4,3626,3577.85,True,132,logs
