phase,function,memory_mb,calls,error_rate,cold_n,init_p50_ms,init_p95_ms,init_p99_ms,cold_duration_p50_ms,warm_duration_p50_ms,rtt_p50_ms,rtt_p95_ms,rtt_p99_ms,cold_fraction,intended_cold_came_back_warm,cost_per_1k_usd
baseline,python-default,128,10,0.0,0,,,,,199.0,377.2745,379.1739,379.22357999999997,0.0,0,0.0005131682324999999
baseline,python-default,512,10,0.0,0,,,,,43.675,218.281,229.80389999999997,236.52078,0.0,0,0.00048666810000000003
baseline,python-default,1024,10,0.0,0,,,,,23.325,198.796,209.123,214.65980000000002,0.0,0,0.00051866826
baseline,python-default,3008,10,0.0,0,,,,,16.33,191.422,194.66475,195.12735,0.0,0,0.0008188364274999999
burst,java-optimised,1024,100,0.0,50,432.08000000000004,465.222,497.8829,128.97,40.730000000000004,903.336,1644.3739999999998,2613.6574,0.5,50,0.004096552816000001
burst,nodejs-optimised,1024,100,0.0,50,145.0,164.82399999999998,174.82849999999996,191.645,129.66,701.4035,1706.69465,1799.86573,0.5,50,0.0032520152600000003
burst,python-optimised,1024,100,0.0,47,89.55,111.63999999999996,151.57279999999994,20.05,20.06,517.6244999999999,1452.7096,1615.66409,0.47,53,0.0010712043560000002
runtime_compare,java-optimised,1024,10,0.0,5,424.72,473.806,482.0892,116.02,46.54,482.35749999999996,882.96575,916.35395,0.5,0,0.0041000195
runtime_compare,nodejs-optimised,1024,10,0.0,5,146.84,153.004,153.38479999999998,194.23,114.72,434.4805,682.9721999999999,704.33604,0.5,0,0.0032480152400000003
runtime_compare,python-optimised,1024,10,0.0,5,82.81,98.948,101.4136,23.7,26.26,286.671,409.96614999999997,414.11083,0.5,0,0.001066671
